Australia, Life tables (period 1x1), Males     Last modified: 17-Feb-2012, MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1921           0     0.07680  0.07262  0.25  100000    7262   94562  5911594  59.12
  1921           1     0.01132  0.01126  0.50   92738    1044   92216  5817032  62.73
  1921           2     0.00792  0.00789  0.50   91694     723   91332  5724816  62.43
  1921           3     0.00512  0.00510  0.50   90971     464   90738  5633484  61.93
  1921           4     0.00339  0.00338  0.50   90506     306   90353  5542745  61.24
  1921           5     0.00264  0.00264  0.50   90200     238   90081  5452392  60.45
  1921           6     0.00217  0.00217  0.50   89962     195   89865  5362311  59.61
  1921           7     0.00186  0.00186  0.50   89767     167   89683  5272447  58.73
  1921           8     0.00169  0.00169  0.50   89600     151   89524  5182763  57.84
  1921           9     0.00162  0.00162  0.50   89448     145   89376  5093239  56.94
  1921          10     0.00164  0.00164  0.50   89303     146   89230  5003863  56.03
  1921          11     0.00167  0.00167  0.50   89157     149   89083  4914633  55.12
  1921          12     0.00172  0.00172  0.50   89009     153   88932  4825550  54.21
  1921          13     0.00177  0.00177  0.50   88856     157   88777  4736618  53.31
  1921          14     0.00182  0.00182  0.50   88698     161   88618  4647841  52.40
  1921          15     0.00187  0.00187  0.50   88537     166   88454  4559223  51.49
  1921          16     0.00199  0.00199  0.50   88371     176   88283  4470768  50.59
  1921          17     0.00218  0.00218  0.50   88195     192   88099  4382485  49.69
  1921          18     0.00236  0.00236  0.50   88003     208   87899  4294386  48.80
  1921          19     0.00254  0.00254  0.50   87795     223   87684  4206486  47.91
  1921          20     0.00274  0.00274  0.50   87573     240   87453  4118802  47.03
  1921          21     0.00297  0.00297  0.50   87333     259   87203  4031349  46.16
  1921          22     0.00324  0.00324  0.50   87074     282   86933  3944146  45.30
  1921          23     0.00346  0.00346  0.50   86792     300   86642  3857213  44.44
  1921          24     0.00358  0.00357  0.50   86492     309   86337  3770572  43.59
  1921          25     0.00362  0.00361  0.50   86183     311   86027  3684234  42.75
  1921          26     0.00366  0.00365  0.50   85872     314   85715  3598207  41.90
  1921          27     0.00371  0.00371  0.50   85558     317   85399  3512492  41.05
  1921          28     0.00377  0.00376  0.50   85241     321   85080  3427093  40.20
  1921          29     0.00387  0.00386  0.50   84920     328   84756  3342012  39.35
  1921          30     0.00403  0.00402  0.50   84592     340   84422  3257256  38.51
  1921          31     0.00418  0.00417  0.50   84252     351   84076  3172834  37.66
  1921          32     0.00434  0.00433  0.50   83901     364   83719  3088758  36.81
  1921          33     0.00460  0.00459  0.50   83537     384   83345  3005039  35.97
  1921          34     0.00493  0.00491  0.50   83153     409   82949  2921694  35.14
  1921          35     0.00522  0.00521  0.50   82745     431   82529  2838745  34.31
  1921          36     0.00551  0.00549  0.50   82314     452   82087  2756216  33.48
  1921          37     0.00586  0.00585  0.50   81861     479   81622  2674128  32.67
  1921          38     0.00622  0.00620  0.50   81383     505   81130  2592506  31.86
  1921          39     0.00643  0.00640  0.50   80878     518   80619  2511376  31.05
  1921          40     0.00654  0.00652  0.50   80360     524   80098  2430757  30.25
