Taiwan, Life tables (period 1x1), Females     Last modified: 08-Feb-2012, MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1970           0     0.01539  0.01518  0.10  100000    1518   98628  7142417  71.42
  1970           1     0.00446  0.00445  0.50   98482     439   98263  7043788  71.52
  1970           2     0.00306  0.00306  0.50   98044     300   97894  6945525  70.84
  1970           3     0.00193  0.00193  0.50   97744     188   97650  6847631  70.06
  1970           4     0.00119  0.00119  0.50   97556     116   97498  6749982  69.19
  1970           5     0.00083  0.00083  0.50   97440      81   97399  6652484  68.27
  1970           6     0.00060  0.00060  0.50   97359      58   97329  6555085  67.33
  1970           7     0.00044  0.00044  0.50   97300      43   97279  6457756  66.37
  1970           8     0.00035  0.00035  0.50   97257      34   97240  6360477  65.40
  1970           9     0.00032  0.00032  0.50   97223      32   97207  6263237  64.42
  1970          10     0.00035  0.00035  0.50   97191      34   97174  6166030  63.44
  1970          11     0.00039  0.00039  0.50   97157      38   97138  6068856  62.46
  1970          12     0.00044  0.00044  0.50   97120      43   97098  5971717  61.49
  1970          13     0.00050  0.00050  0.50   97076      49   97052  5874619  60.52
  1970          14     0.00056  0.00056  0.50   97028      54   97001  5777567  59.55
  1970          15     0.00064  0.00064  0.50   96974      62   96943  5680566  58.58
  1970          16     0.00071  0.00071  0.50   96912      69   96878  5583623  57.62
  1970          17     0.00075  0.00075  0.50   96843      73   96807  5486745  56.66
  1970          18     0.00075  0.00075  0.50   96771      72   96735  5389938  55.70
  1970          19     0.00077  0.00077  0.50   96698      75   96661  5293203  54.74
  1970          20     0.00082  0.00082  0.50   96624      79   96584  5196542  53.78
  1970          21     0.00086  0.00086  0.50   96545      83   96503  5099958  52.82
  1970          22     0.00094  0.00094  0.50   96462      91   96416  5003455  51.87
  1970          23     0.00106  0.00106  0.50   96371     102   96320  4907039  50.92
  1970          24     0.00120  0.00120  0.50   96269     115   96211  4810719  49.97
  1970          25     0.00115  0.00115  0.50   96154     110   96099  4714507  49.03
  1970          26     0.00107  0.00107  0.50   96044     103   95992  4618409  48.09
  1970          27     0.00112  0.00111  0.50   95941     107   95887  4522417  47.14
  1970          28     0.00118  0.00118  0.50   95834     113   95777  4426530  46.19
  1970          29     0.00126  0.00126  0.50   95720     120   95660  4330753  45.24
  1970          30     0.00137  0.00137  0.50   95600     131   95534  4235093  44.30
  1970          31     0.00153  0.00153  0.50   95469     146   95396  4139558  43.36
  1970          32     0.00166  0.00166  0.50   95323     158   95244  4044163  42.43
  1970          33     0.00172  0.00172  0.50   95165     164   95083  3948919  41.50
  1970          34     0.00173  0.00173  0.50   95001     165   94919  3853836  40.57
  1970          35     0.00177  0.00177  0.50   94837     168   94753  3758917  39.64
  1970          36     0.00189  0.00189  0.50   94669     179   94579  3664164  38.71
  1970          37     0.00198  0.00198  0.50   94489     187   94396  3569585  37.78
  1970          38     0.00204  0.00203  0.50   94303     192   94207  3475189  36.85
  1970          39     0.00215  0.00214  0.50   94111     202   94010  3380982  35.93
  1970          40     0.00232  0.00232  0.50   93909     218   93800  3286972  35.00
  1970          41     0.00250  0.00249  0.50   93691     234   93574  3193172  34.08
  1970          42     0.00270  0.00270  0.50   93458     252   93332  3099597  33.17
  1970          43     0.00296  0.00296  0.50   93206     275   93068  3006266  32.25
  1970          44     0.00321  0.00320  0.50   92930     297   92781  2913198  31.35
  1970          45     0.00356  0.00355  0.50   92633     329   92468  2820416  30.45
  1970          46     0.00391  0.00390  0.50   92304     360   92124  2727948  29.55
  1970          47     0.00409  0.00408  0.50   91944     375   91756  2635824  28.67
  1970          48     0.00424  0.00423  0.50   91569     388   91375  2544068  27.78
  1970          49     0.00483  0.00481  0.50   91181     439   90961  2452693  26.90
  1970          50     0.00577  0.00575  0.50   90742     522   90481  2361732  26.03
  1970          51     0.00638  0.00636  0.50   90220     574   89933  2271251  25.17
  1970          52     0.00656  0.00654  0.50   89646     586   89353  2181318  24.33
  1970          53     0.00705  0.00702  0.50   89060     625   88747  2091965  23.49
  1970          54     0.00790  0.00787  0.50   88434     696   88086  2003218  22.65
  1970          55     0.00822  0.00819  0.50   87738     718   87379  1915132  21.83
  1970          56     0.00857  0.00853  0.50   87020     742   86648  1827753  21.00
  1970          57     0.00939  0.00935  0.50   86277     807   85874  1741104  20.18
  1970          58     0.01031  0.01026  0.50   85471     877   85032  1655230  19.37
  1970          59     0.01180  0.01173  0.50   84594     993   84097  1570198  18.56
  1970          60     0.01388  0.01379  0.50   83601    1153   83025  1486101  17.78
  1970          61     0.01634  0.01620  0.50   82448    1336   81780  1403076  17.02
  1970          62     0.01874  0.01857  0.50   81112    1506   80359  1321296  16.29
  1970          63     0.02037  0.02016  0.50   79607    1605   78804  1240936  15.59
  1970          64     0.02207  0.02183  0.50   78002    1703   77150  1162132  14.90
  1970          65     0.02456  0.02426  0.50   76299    1851   75373  1084982  14.22
  1970          66     0.02810  0.02771  0.50   74448    2063   73416  1009609  13.56
  1970          67     0.02945  0.02902  0.50   72385    2101   71334   936193  12.93
  1970          68     0.03163  0.03114  0.50   70284    2188   69190   864858  12.31
  1970          69     0.03555  0.03493  0.50   68096    2379   66906   795668  11.68
  1970          70     0.03955  0.03878  0.50   65717    2548   64443   728762  11.09
  1970          71     0.04198  0.04112  0.50   63169    2597   61870   664319  10.52
  1970          72     0.04713  0.04604  0.50   60571    2789   59177   602449   9.95
  1970          73     0.06211  0.06024  0.50   57783    3481   56042   543271   9.40
  1970          74     0.06583  0.06374  0.50   54302    3461   52571   487229   8.97
  1970          75     0.06634  0.06421  0.50   50841    3264   49209   434658   8.55
  1970          76     0.07531  0.07257  0.50   47577    3453   45850   385449   8.10
  1970          77     0.07514  0.07242  0.50   44124    3195   42526   339599   7.70
  1970          78     0.07902  0.07602  0.50   40928    3111   39373   297073   7.26
  1970          79     0.09285  0.08873  0.50   37817    3356   36139   257700   6.81
  1970          80     0.10604  0.10070  0.50   34462    3470   32726   221561   6.43
  1970          81     0.11257  0.10657  0.50   30991    3303   29340   188835   6.09
  1970          82     0.11999  0.11320  0.50   27689    3134   26121   159495   5.76
  1970          83     0.13014  0.12219  0.50   24554    3000   23054   133373   5.43
  1970          84     0.14264  0.13315  0.50   21554    2870   20119   110319   5.12
  1970          85     0.15431  0.14326  0.50   18684    2677   17346    90200   4.83
  1970          86     0.16692  0.15406  0.50   16008    2466   14774    72854   4.55
  1970          87     0.18214  0.16693  0.50   13541    2261   12411    58080   4.29
  1970          88     0.19731  0.17959  0.50   11281    2026   10268    45668   4.05
  1970          89     0.21198  0.19167  0.50    9255    1774    8368    35401   3.83
  1970          90     0.22818  0.20481  0.50    7481    1532    6715    27033   3.61
  1970          91     0.24522  0.21844  0.50    5949    1299    5299    20318   3.42
  1970          92     0.26311  0.23252  0.50    4649    1081    4109    15018   3.23
  1970          93     0.28181  0.24701  0.50    3568     881    3128    10910   3.06
  1970          94     0.30130  0.26185  0.50    2687     704    2335     7782   2.90
  1970          95     0.32154  0.27700  0.50    1983     549    1709     5447   2.75
  1970          96     0.34247  0.29240  0.50    1434     419    1224     3738   2.61
  1970          97     0.36402  0.30797  0.50    1015     312     858     2514   2.48
  1970          98     0.38614  0.32365  0.50     702     227     589     1656   2.36
  1970          99     0.40874  0.33938  0.50     475     161     394     1067   2.25
  1970         100     0.43173  0.35508  0.50     314     111     258      673   2.14
  1970         101     0.45502  0.37069  0.50     202      75     165      415   2.05
  1970         102     0.47851  0.38613  0.50     127      49     103      250   1.96
  1970         103     0.50209  0.40134  0.50      78      31      62      147   1.88
  1970         104     0.52567  0.41626  0.50      47      19      37       85   1.81
  1970         105     0.54913  0.43083  0.50      27      12      21       48   1.74
  1970         106     0.57237  0.44501  0.50      16       7      12       26   1.68
  1970         107     0.59530  0.45875  0.50       9       4       7       14   1.62
  1970         108     0.61782  0.47201  0.50       5       2       4        7   1.58
  1970         109     0.63984  0.48476  0.50       2       1       2        4   1.54
  1970         110+    0.66129  1.00000  1.51       1       1       2        2   1.51
  1971           0     0.01398  0.01381  0.09  100000    1381   98746  7178445  71.78
  1971           1     0.00560  0.00559  0.50   98619     551   98344  7079699  71.79
  1971           2     0.00251  0.00251  0.50   98068     246   97945  6981355  71.19
  1971           3     0.00128  0.00128  0.50   97822     125   97759  6883410  70.37
  1971           4     0.00093  0.00093  0.50   97697      91   97651  6785651  69.46
  1971           5     0.00071  0.00071  0.50   97606      69   97572  6687999  68.52
  1971           6     0.00056  0.00056  0.50   97537      55   97510  6590428  67.57
  1971           7     0.00045  0.00045  0.50   97482      44   97460  6492918  66.61
  1971           8     0.00037  0.00037  0.50   97439      36   97420  6395458  65.64
  1971           9     0.00033  0.00033  0.50   97402      32   97386  6298038  64.66
  1971          10     0.00031  0.00031  0.50   97370      30   97355  6200651  63.68
  1971          11     0.00032  0.00032  0.50   97340      31   97324  6103296  62.70
  1971          12     0.00034  0.00034  0.50   97309      33   97292  6005972  61.72
  1971          13     0.00040  0.00040  0.50   97276      39   97256  5908680  60.74
  1971          14     0.00048  0.00048  0.50   97237      46   97214  5811423  59.77
  1971          15     0.00056  0.00056  0.50   97190      54   97163  5714210  58.79
  1971          16     0.00064  0.00064  0.50   97136      62   97105  5617046  57.83
  1971          17     0.00071  0.00071  0.50   97074      69   97039  5519941  56.86
  1971          18     0.00074  0.00074  0.50   97005      72   96969  5422902  55.90
  1971          19     0.00072  0.00072  0.50   96933      70   96898  5325933  54.94
  1971          20     0.00073  0.00073  0.50   96863      70   96827  5229036  53.98
  1971          21     0.00077  0.00077  0.50   96792      74   96755  5132208  53.02
  1971          22     0.00081  0.00081  0.50   96718      79   96678  5035453  52.06
  1971          23     0.00089  0.00089  0.50   96639      86   96596  4938775  51.11
